tracker_name,datafile_prefix
"camera","camera_movement"
"hip","hiptracker_movement"
"leftfoot","leftfoottracker_movement"
"rightfoot","rightfoottracker_movement"
"leftknee","leftkneetracker_movement"
"rightknee","rightkneetracker_movement"
"treadmillleft","treadmillleft_movement"
"treadmillright","treadmillright_movement"
"treadmillback","treadmillrightback_movement"
"eye","eyetracking_EyeGaze"
"task","task_ball_game"
"level","task_level"
"udp","udp_lokomat_lokodata"
"sim","simulationtracker_simulation"
"haptic","hapticlogger_haptic_force"